district;neighborhood;room;living room;area (m2);age;floor;price
 Fatih ; Molla Gürani Mah.;2;1;138;50;3;280
 Küçükçekmece ; Fevzi Çakmak Mah.;1;1;60;28;4;125
 Beylikdüzü ; Gürpınar Mah.;2;1;110;5;2;230
 Kağıthane ; Hamidiye Mah.;3;1;130;28;3;210
 Bahçelievler ; Soğanlı Mah.;2;1;120;30;6;140
 Kağıthane ; Sultan Selim Mah.;2;1;90;8;4;240
 Maltepe ; Fındıklı Mah.;2;1;90;11;1;210
 Esenler ; Fevzi Çakmak Mah.;3;1;118;30;4;170
 Bahçelievler ; Soğanlı Mah.;3;0;120;29;1;220
 Beşiktaş ; Türkali Mah.;2;1;100;31;4;260
 Zeytinburnu ; Gökalp Mah.;2;1;95;26;2;190
 Kağıthane ; Gültepe Mah.;2;1;105;20;7;250
 Kağıthane ; Telsizler Mah.;2;1;85;30;4;180
 Üsküdar ; Ünalan Mah.;2;1;80;10;2;320
 Kağıthane ; Emniyet Evleri Mah.;2;1;90;29;2;255
 Sarıyer ; Sarıyer Merkez Mah.;2;1;135;40;-3;850
 Gaziosmanpaşa ; Karlıtepe Mah.;2;1;90;30;0;200
 Ataşehir ; Barbaros Mah.;2;1;140;11;13;750
 Şişli ; Feriköy Mah.;2;1;80;30;3;190
 Beyoğlu ; Kocatepe Mah.;1;0;45;35;1;60
 Şişli ; Mecidiyeköy Mah.;2;1;55;7;1;250
 Ataşehir ; İçerenköy Mah.;1;1;70;12;0;200
 Sarıyer ; Cumhuriyet Mah.;2;1;135;28;2;235
 Bahçelievler ; Şirinevler Mah.;2;1;90;39;1;200
 Sarıyer ; Zekeriyaköy Mah.;2;1;145;12;5;720
